라인번호,설비명,측정시각,온도,압력,진동,전력(kW),생산량,가동률(%),알람코드,상태,작업자
LINE-01,사출기A,2025-01-22 06:00:00,185,12.5,2.3,45.2,1200,92,NONE,정상,김대리
LINE-01,사출기A,2025-01-22 07:00:00,188,12.8,2.5,46.8,1180,90,NONE,정상,김대리
LINE-01,사출기A,2025-01-22 08:00:00,195,13.2,3.1,48.5,1150,88,W001,경고,김대리
LINE-02,프레스B,2025-01-22 06:00:00,78,8.5,1.8,32.4,850,95,NONE,정상,이과장
LINE-02,프레스B,2025-01-22 07:00:00,80,8.6,1.9,33.1,840,94,NONE,정상,이과장
LINE-02,프레스B,2025-01-22 08:00:00,82,8.8,2.0,33.8,830,93,NONE,정상,이과장
LINE-03,CNC머신C,2025-01-22 06:00:00,65,5.2,4.5,28.7,320,85,NONE,정상,박주임
LINE-03,CNC머신C,2025-01-22 07:00:00,68,5.4,4.8,29.2,310,83,W002,경고,박주임
LINE-03,CNC머신C,2025-01-22 08:00:00,72,5.6,5.2,30.1,300,80,E001,에러,박주임
LINE-01,사출기A,2025-01-22 09:00:00,192,12.9,2.8,47.3,1170,89,NONE,정상,김대리
LINE-01,사출기A,2025-01-22 10:00:00,190,12.7,2.6,46.5,1190,91,NONE,정상,최사원
LINE-01,사출기A,2025-01-22 11:00:00,187,12.6,2.4,45.8,1210,93,NONE,정상,최사원
LINE-02,프레스B,2025-01-22 09:00:00,85,9.0,2.2,34.5,820,92,W003,경고,이과장
LINE-02,프레스B,2025-01-22 10:00:00,88,9.2,2.4,35.2,810,90,W003,경고,이과장
LINE-02,프레스B,2025-01-22 11:00:00,83,8.7,2.1,34.0,825,92,NONE,정상,정대리
LINE-03,CNC머신C,2025-01-22 09:00:00,70,5.5,5.0,29.8,305,82,W002,경고,박주임
LINE-03,CNC머신C,2025-01-22 10:00:00,66,5.3,4.6,28.9,315,84,NONE,정상,박주임
LINE-03,CNC머신C,2025-01-22 11:00:00,64,5.1,4.4,28.5,325,86,NONE,정상,박주임
LINE-04,조립라인D,2025-01-22 06:00:00,35,2.1,0.8,15.2,2200,98,NONE,정상,강팀장
LINE-04,조립라인D,2025-01-22 07:00:00,36,2.2,0.9,15.5,2180,97,NONE,정상,강팀장
LINE-04,조립라인D,2025-01-22 08:00:00,38,2.3,1.0,15.8,2150,96,NONE,정상,강팀장
LINE-04,조립라인D,2025-01-22 09:00:00,37,2.2,0.9,15.6,2170,97,NONE,정상,강팀장
LINE-04,조립라인D,2025-01-22 10:00:00,39,2.4,1.1,16.0,2140,95,W004,경고,윤사원
LINE-04,조립라인D,2025-01-22 11:00:00,36,2.2,0.9,15.5,2185,98,NONE,정상,윤사원
LINE-05,검사장비E,2025-01-22 08:00:00,28,1.5,0.3,8.5,3500,99,NONE,정상,송과장
LINE-05,검사장비E,2025-01-22 09:00:00,29,1.6,0.4,8.7,3480,98,NONE,정상,송과장
LINE-05,검사장비E,2025-01-22 10:00:00,30,1.7,0.5,8.9,3450,97,NONE,정상,송과장
LINE-01,사출기A,2025-01-22 12:00:00,193,13.0,2.9,47.6,1160,88,W001,경고,최사원
LINE-02,프레스B,2025-01-22 12:00:00,79,8.5,1.9,33.2,835,93,NONE,정상,정대리
LINE-03,CNC머신C,2025-01-22 12:00:00,67,5.3,4.7,29.0,312,84,NONE,정상,박주임
